"Name",Channel
Alvvays,UCFwM7mqRJQltXEduilGLHYg
"G Jones",UC3r6TUeTFP9HYMeuvzSEhwQ
"Aminé",UCaRVejD1K6HvPINeK2PGfEQ
"San Fermin",UCWi8UCuJcrkLdnZttICHQkQ
"The Japanese House",UCAplgHR0_FUPjnavj4-u0yw
"Léon",UCwwiMN0WWnJ2ZhK_YGuwIEQ
"The Shelters",UCKA6lWQCmEZFkPuPuqb8-ww
"Blossoms",UCC7E2CQsyW3i-nICeYX90lw
"Jacob Banks",UCG36u-k09zdIPQh5EEdVgTA
"The London Souls",UCW69vMnw75biUQHUkI-J9SA
"888",UCgWf8fRidiCb1_xGRgr7JSA
"Wingtip",UC6C6tS9gH64dqGJXbJdkfWQ
"Colony House",UCBUF-MQZylEu4m4ziKfGp4A
"Brayton Bowman",UCTrrAC_DGl-02RNeax6DF4g
"Lady Pills",UCRLZb8PpI9N7COmYqHiDH7A
"Arcade Fire",UCUiiO_bccZFMVmnJ2Jj95lg
"Justice",UCQ5Ssrs48yJBfOesfDqXUeA
"Big Sean",UC7zOpx9wgvGBCDEjujnAPQA
"The Shins",UC6kUoMWSO3oQWAJQrHYqwbA
"Zeds Dead",UCisDHuTS9LRbLTwrEAeYdsQ
"Rae Sremmurd",UCweazuUMMKdL2wwSyrxla9A
"Tove Lo",UC0sVahwZgKFHjOBaxvm-a7Q
"Milky Chance",UCy-ez61m5LdG3FQVr-4Crcw
"Grouplove",UCRaoFQgm9afWeKAfQ2xocSA
"DVBBS",UCs5FD38g36-OxxLutO6azwg
"Borgore",UCrHiP_tOJ0aGeG9HGbOKHdw
"Lil Yachty",UCNTu7P3IyRRKJtibrrXG0Yg
"London Grammar",UCgX66nFZQodWgTeNIMF_4Rw
"Rag'n'Bone Man",UCemsMvkKR1VDm5xtupQ9kyg
"Noname",UCp0gATorETNZ6ttOTMeV7jA
"Joey Bada$$",UC42LFWlZf-ooul-Kghq9DlA
"Charli XCX",UCOvEMf00DnwdkpOCRWdc6uA
"Car Seat Headrest",UCLGElt2TSebXf1VVJzhLQbw
"Slander",UC_D7aoxoyj5drj_1PKQNyMw
"Machine Gun Kelly",UC2a9zmrdjvLsrRgi4G4blWw
"6LACK",UCZCtgYHcNe944o9cca11Y9g
"Sampha",UCXHwpZVFBtFI5a-CYtSKd6w
"Maggie Rogers",UChfRct5EhDlJz9iCRiestyw
"NF",UCI3H1FsjbdqGcLq93ZilV5g
"Joyryde",UCLddKRSsA2eNfwnNVz6Onrg
"Joseph",UCslsl7XGr8Ehz6zbi4fl0kg
"Barns Courtney",UCOQhQVN8GaYU2VpuKFUIwhg
"VANT",UCn8BpCQ0F7pHY1mZB_nk3PQ
"Grace Mitchell",UCRFJKGSEkgfIyOLYLthuUvQ
"Blaenavon",UCkB81QCrYggMwRVacH32Wqg
"Lo Moon",UC38_hqXShzvXvejwdCYNDgw
"Dirty Audio",UCq9XcwwgSOiQeNnqpyuFrog
"Whethan",UCj_Y-xJ2DRDGP4ilfzplCOQ
"Sofi Tukker",UC4rasfm9J-X4jNl9SvXp8xA
"Xavier Omär",UCwOvdvxybz4V-K9VOgFtxxQ
"Boogie",UCpZbq470NeImMxg-s7zHXZA
"Wax Motif",UCl47q4MjEZg4b8M1bwyi2YA
"The Walters",UCm54E8Hlf_z1GIpVUChBTQA
"Duckwrth",UCsJdkVK4g8KCYY28xeUNyyw
"Spencer Ludwig",UCuq_oZsZ8dfkXoqNzohi2UA
"Flor",UClVrJwcIy7saPcGc1nct80A
"Goody Grace",UCC01Aqk7JPgJDu9pzGifKiA
"Tucker Beathard",UCMLIH99uAd2frNf2fmizzzw
